Section nominale (mm²);Résistance linéique (Ohm/km);Intensité de courant admissible (A);Evolution de I par rapport à ref 228mm²;Facteur cout
228;0.147;585;0.0;1.000
248;0.135;620;0.06;1.0877
265;0.127;645;0.1;1.1623
288;0.116;680;0.16;1.2632
298;0.112;695;0.19;1.307
313;0.107;715;0.22;1.3728
318;0.105;720;0.23;1.3947
366;0.0913;790;0.35;1.6053
446;0.0752;895;0.53;1.9561
475;0.0705;925;0.58;2.0833
570;0.0588;1035;0.77;2.5
621;0.054;1095;0.87;2.7237
709;0.0474;1185;1.03;3.1096
851;0.0395;1330;1.27;3.7325
926;0.0636;1410;1.41;4.0614
